applicant_id,Status,applied_platform,platform_logo_url,company,company_logo_url,job_title,Industry,skills_mentioned,Education,Age Group,Years of Experience,hired,salary_offer_in_inr,Monthly Salary (INR),AI Risk,Location,application_date
A1001,Employed,LinkedIn,https://logo.clearbit.com/linkedin.com,Infosys,https://logo.clearbit.com/infosys.com,Product Manager,E-commerce,"Azure, React, CSS, JavaScript",Diploma,35-44,0,No,,,Moderate,Noida,12-07-2025
A1002,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Adobe,https://logo.clearbit.com/adobe.com,Software Engineer,Information Technology,"Java, AWS, Azure",Diploma,45-54,8,No,,,Moderate,Bangalore,01-06-2025
A1003,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,Sales Executive,Manufacturing,"Azure, SEO, Problem Solving, Docker, Python, Node.js",PhD,45-54,4,No,,,Low,Pune,08-03-2025
A1004,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Amazon,https://logo.clearbit.com/amazon.com,Sales Executive,Finance,"JavaScript, Java, Tableau, Excel, Git",High School,45-54,0,No,,,High,Pune,27-09-2024
A1005,Intern,Indeed,https://logo.clearbit.com/indeed.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,Backend Developer,Information Technology,"Java, Data Visualization, Kubernetes, Linux, Git, Excel",High School,18-24,2,Yes,619739,51645,Moderate,Delhi,14-08-2025
A1006,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,TCS,https://logo.clearbit.com/tcs.com,HR Executive,Marketing,"Java, Azure, JavaScript, Tableau, Docker",PhD,18-24,4,Yes,468948,39079,High,Pune,09-04-2025
A1007,Unemployed,Naukri,https://logo.clearbit.com/naukri.com,Ola,https://logo.clearbit.com/olacabs.com,Business Analyst,Healthcare,"C++, Docker, HTML, Linux",PhD,35-44,8,No,,,Low,Gurugram,14-03-2024
A1008,Employed,Naukri,https://logo.clearbit.com/naukri.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,HR Executive,Education,"SEO, Tableau, Docker, Linux",High School,55+,2,No,,,Moderate,Noida,24-07-2025
A1009,Employed,Internshala,https://logo.clearbit.com/internshala.com,TCS,https://logo.clearbit.com/tcs.com,HR Executive,Healthcare,"Presentation, Communication, Tableau",Master's Degree,18-24,0,Yes,399867,33322,Moderate,Delhi,01-10-2024
A1010,Employed,Naukri,https://logo.clearbit.com/naukri.com,LTI,https://logo.clearbit.com/lntinfotech.com,Quality Analyst,Manufacturing,"Linux, Digital Marketing, Tableau, SEO",PhD,55+,3,No,,,High,Noida,26-05-2024
A1011,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,Accenture,https://logo.clearbit.com/accenture.com,Product Manager,Healthcare,"Problem Solving, Tableau, Excel, Azure, React, Machine Learning",Bachelor's Degree,25-34,0,Yes,1134547,94546,Moderate,Chennai,20-05-2025
A1012,Freelancer,LinkedIn,https://logo.clearbit.com/linkedin.com,Google,https://logo.clearbit.com/google.com,Machine Learning Engineer,Human Resources,"Presentation, C++, Power BI, Git",Master's Degree,35-44,5,Yes,1098068,91506,Moderate,Mumbai,06-03-2024
A1013,Freelancer,Indeed,https://logo.clearbit.com/indeed.com,Byjus,https://logo.clearbit.com/byjus.com,Mobile App Developer,Education,"Data Visualization, Python, C++, CSS, JavaScript",PhD,18-24,3,No,,,High,Bangalore,03-07-2025
A1014,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Google,https://logo.clearbit.com/google.com,DevOps Engineer,Education,"Node.js, SEO, Python, CSS, Docker, Machine Learning",Bachelor's Degree,35-44,7,No,,,Low,Kolkata,01-07-2024
A1015,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,IBM,https://logo.clearbit.com/ibm.com,Sales Executive,Healthcare,"Excel, Leadership, Node.js, Data Visualization",Bachelor's Degree,25-34,0,No,,,Moderate,Gurugram,27-06-2025
A1016,Unemployed,Glassdoor,https://logo.clearbit.com/glassdoor.com,Zoho,https://logo.clearbit.com/zoho.com,Finance Analyst,Manufacturing,"JavaScript, Excel, Teamwork",PhD,25-34,2,No,,,Low,Delhi,10-11-2024
A1017,Intern,LinkedIn,https://logo.clearbit.com/linkedin.com,Accenture,https://logo.clearbit.com/accenture.com,Frontend Developer,Marketing,"CSS, Digital Marketing, Teamwork",PhD,35-44,7,Yes,722479,60207,High,Gurugram,11-03-2024
A1018,Intern,Naukri,https://logo.clearbit.com/naukri.com,Amazon,https://logo.clearbit.com/amazon.com,Finance Analyst,Education,"Docker, Machine Learning, Git, Power BI",PhD,18-24,7,No,,,High,Pune,04-08-2024
A1019,Employed,Naukri,https://logo.clearbit.com/naukri.com,IBM,https://logo.clearbit.com/ibm.com,Data Scientist,Information Technology,"SEO, Machine Learning, JavaScript, Azure, Java",Bachelor's Degree,35-44,0,No,,,Low,Delhi,12-12-2024
A1020,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Tech Mahindra,https://logo.clearbit.com/techmahindra.com,HR Executive,Manufacturing,"Python, Java, HTML, Linux",Diploma,55+,2,No,,,Moderate,Bangalore,01-03-2024
A1021,Unemployed,LinkedIn,https://logo.clearbit.com/linkedin.com,TCS,https://logo.clearbit.com/tcs.com,Quality Analyst,Healthcare,"Machine Learning, Azure, Docker",PhD,55+,2,Yes,509136,42428,Moderate,Noida,12-05-2025
A1022,Intern,Glassdoor,https://logo.clearbit.com/glassdoor.com,Amazon,https://logo.clearbit.com/amazon.com,Finance Analyst,Education,"Presentation, Digital Marketing, Power BI, AWS",PhD,55+,0,No,,,High,Noida,06-04-2024
A1023,Employed,Indeed,https://logo.clearbit.com/indeed.com,Ola,https://logo.clearbit.com/olacabs.com,UI/UX Designer,E-commerce,"SEO, CSS, SQL, C++, Linux, HTML",Master's Degree,55+,0,Yes,578537,48211,High,Pune,10-04-2024
A1024,Employed,Indeed,https://logo.clearbit.com/indeed.com,Zoho,https://logo.clearbit.com/zoho.com,Backend Developer,Information Technology,"AWS, Data Visualization, SEO, React",PhD,55+,1,Yes,577245,48104,Moderate,Chennai,08-03-2025
A1025,Freelancer,Internshala,https://logo.clearbit.com/internshala.com,Zomato,https://logo.clearbit.com/zomato.com,HR Executive,Finance,"SEO, Presentation, Data Visualization",Master's Degree,25-34,0,No,,,Low,Gurugram,10-04-2024
A1026,Freelancer,Glassdoor,https://logo.clearbit.com/glassdoor.com,Infosys,https://logo.clearbit.com/infosys.com,Frontend Developer,E-commerce,"Node.js, Power BI, Digital Marketing, AWS",Master's Degree,18-24,0,No,,,High,Chennai,14-02-2025
A1027,Employed,Naukri,https://logo.clearbit.com/naukri.com,HCL,https://logo.clearbit.com/hcltech.com,Data Analyst,Education,"Docker, Presentation, SEO, Kubernetes, Power BI, Data Visualization",Diploma,18-24,1,No,,,Moderate,Ahmedabad,13-05-2025
A1028,Freelancer,Naukri,https://logo.clearbit.com/naukri.com,IBM,https://logo.clearbit.com/ibm.com,Sales Executive,Manufacturing,"Problem Solving, CSS, Data Visualization",PhD,45-54,4,No,,,Moderate,Delhi,03-03-2024
